No,Group,Family,Name_S,Name_C,Alien,西元年,Month,Date,Region,TWD97_X,TWD97_Y,數量
154,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2014,12,19,新店溪,303097.4095,2767239.471,4
168,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2015,1,29,新店溪,303097.4095,2767239.471,3
99,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,9,30,淡水河,299483.1807,2770060.223,7
111,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,9,30,關渡水岸公園,296497.1756,2779240.538,3
121,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,10,28,新店溪,299474.2401,2768198.348,7
131,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,10,28,淡水河,300851.0892,2775442.451,1
144,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,11,10,淡水河,300851.0892,2775442.451,2
158,甲殼,長臂蝦科,Palaemon concinnus,潔白長臂蝦,,2014,12,19,新店溪,299474.2401,2768198.348,5
1,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2014,5,28,新店溪,303097.4095,2767239.471,100
183,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2015,2,12,新店溪,303097.4095,2767239.471,1
192,水昆,琵蟌科,Platycnemididae,琵蟌稚蟲,,2015,3,2,新店溪,303097.4095,2767239.471,6
202,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2015,4,22,新店溪,303097.4095,2767239.471,2
25,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2014,6,19,新店溪,303097.4095,2767239.471,3
18,水昆,搖蚊科,Chironomidae,搖蚊幼蟲,,2014,5,28,淡水河,300851.0892,2775442.451,2
41,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2014,7,22,新店溪,303097.4095,2767239.471,10
204,軟體,殼菜蛤科,Limnoperna fortunei,河殼菜蛤,,2015,4,22,新店溪,299930.2096,2767127.713,2
62,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2014,8,6,新店溪,303097.4095,2767239.471,10
85,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2014,9,30,新店溪,303097.4095,2767239.471,2
151,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2014,12,19,新店溪,303097.4095,2767239.471,15
165,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2015,1,29,新店溪,303097.4095,2767239.471,13
123,軟體,蚌科,Anodonta woodiana/Sinanodonta woodiana,背角無齒蚌(圓蚌),,2014,10,28,淡水河,299483.1807,2770060.223,3
181,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2015,2,12,新店溪,303097.4095,2767239.471,3
3,軟體,扁蜷科,Gyraulus spirillus,圓口扁蜷,,2014,5,28,新店溪,303097.4095,2767239.471,2
190,甲殼,櫛水虱科,Asellus sp.,櫛水虱,,2015,3,2,新店溪,303097.4095,2767239.471,25
83,甲殼,相手蟹科,Perisesarma bidens,雙齒近相手蟹,,2014,8,6,關渡水岸公園,296497.1756,2779240.538,2
24,水昆,搖蚊科,Chironomidae,搖蚊幼蟲,,2014,6,19,新店溪,303097.4095,2767239.471,5
8,軟體,蘋果螺科,Pomacea canaliculata,福壽螺,外來種,2014,5,28,新店溪,299930.2096,2767127.713,4
98,軟體,蘋果螺科,Pomacea canaliculata,福壽螺,外來種,2014,9,30,淡水河,299483.1807,2770060.223,1
143,水昆,龍蝨科,Dytiscidae,灰色龍蝨,,2014,11,10,淡水河,300851.0892,2775442.451,1
108,甲殼,相手蟹科,Perisesarma bidens,雙齒近相手蟹,,2014,9,30,淡水河,300851.0892,2775442.451,20
43,軟體,囊螺科,Physa acuta/Physella acuta,囊螺,,2014,7,22,新店溪,303097.4095,2767239.471,3
214,軟體,囊螺科,Physa acuta/Physella acuta,囊螺,,2015,4,22,淡水河,299483.1807,2770060.223,2
110,甲殼,相手蟹科,Perisesarma bidens,雙齒近相手蟹,,2014,9,30,關渡水岸公園,296497.1756,2779240.538,1
146,甲殼,相手蟹科,Perisesarma bidens,雙齒近相手蟹,,2014,11,10,淡水河,300851.0892,2775442.451,1
13,甲殼,跳蝦科,Platorchestia paludosus,關渡草澤扁跳蝦,,2014,5,28,淡水河,299483.1807,2770060.223,1
105,甲殼,梭子蟹科,Scylla olivacea,欖綠青蟳,,2014,9,30,淡水河,300851.0892,2775442.451,1
164,甲殼,梭子蟹科,Scylla olivacea,欖綠青蟳,,2014,12,19,關渡水岸公園,296497.1756,2779240.538,1
